RowNumber,CustomerId,NumOfProducts,HasChckng,IsActiveMember
9877,15578374,1,1,0
5519,15578375,2,0,0
4476,15578435,1,1,1
4257,15578462,1,1,1
1229,15578515,2,1,0
6281,15578546,1,1,1
1743,15578603,1,0,0
4725,15578648,1,1,0
8795,15578671,1,1,1
7341,15578722,2,1,0
3064,15578738,1,1,1
8407,15578747,1,0,1
722,15578761,2,1,1
4664,15578783,1,1,1
8919,15578787,1,1,0
8714,15578788,2,0,0
2246,15578799,1,1,1
2536,15578809,2,0,0
2453,15578825,1,1,0
8824,15578835,1,0,1
9925,15578865,1,1,1
1196,15578866,1,1,1
9802,15578878,1,1,1
2087,15578908,2,1,1
716,15578977,2,1,0
813,15578980,2,1,1
6402,15579040,2,0,0
1409,15579062,2,0,0
8392,15579074,1,1,1
6954,15579109,1,1,1
4480,15579112,2,1,1
2408,15579130,1,1,0
8968,15579131,2,1,1
2289,15579166,1,1,1
8322,15579183,2,1,1
9086,15579189,2,0,1
8522,15579207,1,1,0
2276,15579208,2,1,1
3247,15579212,1,1,0
6691,15579223,1,1,0
2850,15579262,1,0,0
7909,15579287,2,0,1
688,15579334,1,1,0
9473,15579345,1,1,1
4349,15579387,2,0,1
4879,15579433,2,0,0
6851,15579526,1,1,1
5191,15579548,2,1,0
5169,15579559,1,1,1
4324,15579566,1,1,0
7263,15579583,1,1,1
5276,15579616,2,0,1
4654,15579617,2,0,1
2755,15579647,1,1,1
1667,15579706,1,1,0
5970,15579714,2,0,1
6345,15579777,2,1,0
3068,15579781,1,1,0
6033,15579787,2,1,0
4177,15579808,1,1,1
9643,15579820,1,1,0
5133,15579826,1,1,0
6022,15579891,1,1,1
6004,15579892,1,1,1
4466,15579914,2,1,1
5060,15579915,2,1,0
9978,15579969,2,1,1
6422,15579994,1,1,1
4652,15579996,1,0,0
8452,15580043,1,1,1
4776,15580068,2,1,1
4040,15580134,1,1,1
103,15580146,1,1,0
706,15580148,3,1,0
8828,15580149,2,1,0
122,15580203,1,0,0
8582,15580213,2,1,0
5451,15580227,2,1,0
6067,15580249,1,0,0
4270,15580252,1,0,1
7509,15580366,2,1,1
9871,15580462,1,1,1
4718,15580487,2,0,1
9652,15580493,1,1,0
6174,15580560,1,1,1
7586,15580579,1,1,1
8996,15580623,2,0,0
3552,15580629,1,1,0
4567,15580682,2,1,1
642,15580684,1,1,0
5372,15580701,1,1,0
4665,15580719,2,1,1
9635,15580805,2,1,0
1496,15580845,1,0,1
6603,15580872,2,1,0
9268,15580912,2,1,1
7032,15580914,2,0,1
3855,15580935,2,1,0
9447,15580953,1,0,1
965,15580956,1,1,1
3456,15580988,2,1,1
2640,15581036,2,1,0
9461,15581089,2,1,1
3796,15581102,2,0,1
9809,15581115,1,0,0
436,15581197,1,0,1
2929,15581198,1,1,0
877,15581229,1,0,1
5468,15581237,1,1,1
3407,15581252,1,1,0
3927,15581280,1,1,1
3166,15581282,1,1,0
7829,15581286,1,1,1
5625,15581295,1,1,0
6164,15581323,2,1,0
6594,15581332,2,1,1
8165,15581370,2,1,0
6031,15581388,1,1,0
2336,15581440,2,1,1
1039,15581479,1,1,1
6556,15581505,2,1,0
4956,15581525,2,1,0
5242,15581526,2,0,0
316,15581539,2,0,0
2643,15581548,1,1,0
9536,15581551,1,1,1
2813,15581620,3,1,1
8955,15581626,1,1,1
3072,15581654,2,0,1
7578,15581700,1,1,1
4648,15581733,2,1,0
9987,15581736,2,0,1
2728,15581748,2,1,1
4328,15581811,2,0,1
2066,15581840,2,1,0
7272,15581871,2,1,1
8626,15581893,1,0,1
6962,15581968,2,1,1
3387,15582016,2,1,0
6389,15582033,1,1,0
3116,15582066,1,1,1
4987,15582090,1,1,0
8399,15582116,2,1,0
7716,15582129,3,1,0
7958,15582149,2,1,1
6269,15582154,1,1,1
5440,15582168,2,1,0
1395,15582180,1,1,1
4779,15582246,2,0,1
1670,15582259,2,1,1
4315,15582276,1,0,1
2669,15582325,1,1,0
4839,15582335,1,0,0
5101,15582404,2,1,0
2996,15582492,1,1,0
8433,15582519,1,0,1
6016,15582591,1,1,1
978,15582616,2,1,0
2297,15582714,1,0,1
762,15582741,1,1,0
3603,15582762,1,1,1
962,15582797,1,1,0
4817,15582841,2,0,1
8471,15582847,2,0,1
4745,15582849,1,1,1
8637,15582892,1,1,1
9434,15582903,2,1,1
3759,15582910,1,1,0
2647,15582944,2,1,0
5432,15582951,1,1,0
2279,15582960,1,0,1
9138,15583026,1,1,0
5998,15583033,2,0,1
2604,15583049,1,0,1
7314,15583067,1,0,1
5562,15583073,1,1,1
6640,15583076,2,1,0
1850,15583090,2,1,0
3168,15583137,2,1,1
9273,15583138,2,1,0
761,15583212,1,1,0
9735,15583221,2,1,1
4758,15583278,1,1,1
370,15583303,1,1,0
4635,15583353,1,1,0
2504,15583364,1,0,0
6440,15583371,1,1,0
5751,15583392,3,1,0
6974,15583394,2,1,1
377,15583456,3,1,1
5421,15583462,2,1,1
4996,15583480,2,0,1
1816,15583499,1,1,1
2192,15583548,1,1,0
7593,15583552,1,1,0
2122,15583576,1,0,1
4720,15583580,1,1,0
1500,15583595,1,1,1
5807,15583597,1,1,1
1426,15583668,1,0,1
7033,15583680,1,0,1
2962,15583681,2,1,1
9618,15583692,2,1,0
1836,15583718,1,1,1
7460,15583724,2,1,1
638,15583725,1,0,1
8409,15583736,2,1,0
1482,15583748,2,1,0
7942,15583755,1,1,1
8071,15583764,1,0,0
4218,15583840,1,1,1
8972,15583849,2,0,0
4439,15583850,2,1,1
9302,15583857,2,0,0
6704,15583863,1,0,0
3794,15584037,1,1,0
6387,15584090,2,0,1
771,15584091,2,0,0
5020,15584113,1,0,1
3077,15584114,2,1,1
9441,15584156,3,0,0
2828,15584190,2,0,1
6585,15584229,1,1,1
5248,15584271,1,1,1
9050,15584288,2,1,1
3152,15584320,1,0,0
5312,15584338,2,1,0
1295,15584363,1,1,1
1550,15584364,1,1,0
9531,15584452,2,0,0
8264,15584453,2,0,1
9529,15584462,1,1,0
4970,15584477,1,1,1
4116,15584505,2,0,0
136,15584518,2,1,1
9998,15584532,1,0,1
4346,15584536,1,1,1
3001,15584545,2,0,1
9279,15584580,1,0,0
8096,15584620,1,1,0
8565,15584704,1,1,0
6660,15584749,1,1,0
397,15584766,1,1,1
5108,15584776,1,1,0
8501,15584785,1,1,0
9428,15584812,2,0,0
9401,15584897,1,0,0
8323,15584899,2,0,1
9226,15584928,2,1,1
1935,15584930,2,1,0
6629,15584967,2,1,1
837,15585036,2,1,1
2166,15585041,2,0,1
1579,15585047,1,0,0
8936,15585066,1,0,1
1652,15585067,1,1,1
2787,15585100,1,1,0
8150,15585106,2,1,0
4877,15585133,2,0,0
7205,15585192,1,0,0
1093,15585198,1,0,1
324,15585215,2,0,0
4263,15585222,2,1,1
1120,15585241,2,1,0
9318,15585249,1,1,0
893,15585255,1,1,0
5617,15585256,2,1,1
3471,15585280,2,0,1
1434,15585282,2,0,1
2877,15585284,1,1,1
7749,15585287,1,1,0
881,15585362,1,1,0
1449,15585367,1,1,0
5877,15585379,1,1,0
166,15585388,2,1,1
4345,15585427,2,0,0
2840,15585451,1,1,1
4543,15585455,2,0,0
8768,15585466,2,1,0
3869,15585490,1,0,1
2255,15585533,1,0,1
4995,15585580,1,1,1
782,15585595,2,0,1
4606,15585599,2,0,1
4051,15585734,2,1,1
6260,15585748,2,1,1
40,15585768,2,0,1
5544,15585777,1,1,1
3824,15585823,1,1,0
2706,15585835,2,1,0
4459,15585839,2,1,0
4347,15585853,1,1,0
7074,15585855,1,1,1
495,15585865,2,0,0
6114,15585867,2,0,1
839,15585888,1,0,1
7011,15585892,1,0,0
1978,15585901,3,0,0
6401,15585907,2,0,0
7257,15585928,1,1,1
1015,15585961,2,0,1
8491,15585985,1,1,0
9034,15586029,2,1,0
6074,15586039,2,1,1
8396,15586069,1,1,0
3669,15586133,1,0,0
5113,15586135,1,1,1
7467,15586174,1,1,1
7197,15586183,2,1,0
8120,15586236,3,1,1
1925,15586243,1,1,1
2263,15586264,1,1,0
5226,15586300,2,1,1
174,15586310,1,1,0
5384,15586425,2,1,1
7362,15586479,1,1,0
5903,15586504,2,1,0
6620,15586517,1,1,1
9612,15586522,1,1,0
9287,15586523,1,1,1
6761,15586557,1,0,1
610,15586585,1,1,0
3582,15586629,2,1,0
6718,15586674,1,0,1
9236,15586680,1,1,0
6986,15586699,2,0,0
8432,15586752,1,1,1
3189,15586757,1,1,1
2161,15586821,2,0,1
8673,15586848,2,1,0
2644,15586870,1,1,1
1672,15586880,2,1,1
9986,15586914,2,1,0
8528,15586931,1,1,1
848,15586959,2,1,0
1072,15586970,1,1,1
1513,15586974,2,1,1
2440,15586976,1,1,0
1933,15586993,2,1,1
3143,15586996,2,0,1
3069,15587013,1,1,1
7505,15587038,1,1,1
6780,15587066,1,0,0
9971,15587133,2,1,0
5168,15587174,2,1,1
3232,15587177,1,1,0
8009,15587210,1,1,0
1377,15587233,3,1,1
5136,15587240,2,0,1
7269,15587266,1,0,1
7169,15587297,2,1,1
6697,15587299,1,1,0
7936,15587311,2,0,1
6869,15587394,2,0,0
3251,15587419,2,0,1
190,15587421,2,1,0
7625,15587443,2,1,1
1018,15587451,1,1,0
5273,15587507,1,1,0
748,15587535,1,1,0
171,15587562,1,1,0
8639,15587573,2,0,1
1851,15587581,2,1,1
6176,15587584,2,1,1
4200,15587596,1,1,0
4550,15587611,2,0,0
9869,15587640,1,1,0
6710,15587647,1,0,1
8568,15587676,1,1,1
4508,15587690,1,1,0
8193,15587712,1,1,0
2485,15587735,1,1,1
5813,15587835,1,0,1
1984,15587913,2,1,0
6504,15587978,1,0,1
7594,15588019,1,1,0
3239,15588080,1,1,0
4224,15588090,2,1,0
7027,15588123,2,0,1
4695,15588186,1,1,0
4120,15588197,2,0,0
2138,15588219,2,1,0
6917,15588235,1,1,1
1627,15588248,2,1,1
7978,15588341,1,0,1
639,15588350,1,0,1
5590,15588372,1,0,0
6391,15588406,2,1,0
6473,15588419,1,1,0
2613,15588446,2,0,0
5178,15588449,1,0,1
6681,15588450,1,1,1
9845,15588456,1,1,1
3583,15588461,1,1,0
5246,15588517,2,1,1
7752,15588535,2,0,0
168,15588537,1,1,0
7839,15588560,1,1,1
8204,15588566,2,1,1
8139,15588580,1,1,1
4819,15588587,1,1,1
2152,15588614,1,1,0
3389,15588622,1,1,1
1175,15588670,1,1,0
6102,15588695,1,1,1
2358,15588701,2,1,0
9988,15588839,2,1,1
7650,15588854,1,1,1
8172,15588859,2,1,0
6378,15588904,1,1,0
5414,15588918,2,1,0
3402,15588923,1,1,0
8131,15588928,2,1,1
6715,15588933,1,1,1
3498,15588944,2,0,0
8102,15588955,3,1,0
1413,15588986,1,1,1
6256,15589017,3,1,0
2763,15589018,2,1,1
8234,15589019,1,1,1
629,15589030,2,1,1
1846,15589076,1,0,1
4679,15589147,1,1,1
1081,15589195,1,0,1
8774,15589200,2,1,0
2295,15589204,1,1,0
6995,15589210,1,0,0
1424,15589221,2,1,1
2110,15589224,2,0,1
5039,15589230,1,0,1
1187,15589257,2,1,1
5383,15589296,1,1,1
8197,15589312,1,0,0
2188,15589320,1,1,1
6006,15589323,2,0,1
9989,15589329,2,1,0
1688,15589348,1,1,1
1121,15589358,2,1,0
8836,15589361,1,1,1
1786,15589380,2,1,1
9661,15589401,2,1,0
9897,15589420,1,1,1
3812,15589428,2,1,0
5343,15589431,1,1,1
4896,15589435,2,1,1
6239,15589437,1,1,1
3172,15589449,3,1,1
31,15589475,3,1,0
838,15589488,1,1,1
691,15589493,2,1,0
5711,15589496,2,0,0
7496,15589541,2,0,1
4102,15589544,2,1,1
5462,15589563,2,0,0
1193,15589572,2,1,0
9422,15589589,1,1,0
2254,15589643,1,1,1
1533,15589660,1,0,1
4585,15589666,1,1,1
8312,15589698,1,1,1
3230,15589715,1,1,0
8815,15589725,2,1,1
6819,15589739,1,1,1
1153,15589754,1,0,1
1952,15589793,1,1,0
967,15589805,1,1,1
4889,15589869,2,0,1
7385,15589881,2,1,1
5278,15589924,2,1,1
7862,15589948,2,1,1
8484,15589949,1,1,0
5139,15589969,1,0,1
159,15589975,1,0,1
8410,15590011,1,1,1
6535,15590078,1,1,1
7918,15590094,2,0,0
6267,15590097,1,1,0
1501,15590146,1,0,1
9914,15590177,1,0,1
5444,15590199,1,0,1
8851,15590201,4,1,1
9967,15590213,1,1,1
2866,15590228,1,1,1
7537,15590234,1,1,0
294,15590241,1,0,0
1875,15590268,1,1,1
6503,15590286,1,1,0
1458,15590320,2,0,1
5781,15590327,1,1,0
9540,15590337,1,1,1
3856,15590344,2,1,1
8077,15590349,1,0,0
7105,15590434,1,0,1
1105,15590476,2,1,0
1912,15590606,2,1,0
4836,15590623,2,1,1
5952,15590637,2,0,1
8683,15590676,1,1,0
5695,15590683,1,0,1
2280,15590730,2,1,0
8785,15590810,1,1,0
1171,15590820,1,0,0
8852,15590828,1,1,0
930,15590876,1,0,0
9180,15590888,2,0,0
5155,15590966,2,0,0
1287,15590993,2,0,0
7159,15591010,2,1,0
7361,15591035,1,0,1
5928,15591036,1,0,0
590,15591047,2,0,0
5633,15591091,1,1,0
114,15591100,1,0,1
7630,15591107,1,0,0
2761,15591123,1,1,1
1522,15591130,2,0,1
6284,15591135,2,1,0
9410,15591150,2,0,1
6304,15591169,1,1,0
2637,15591179,2,1,1
7438,15591248,1,1,1
1085,15591257,2,1,0
3250,15591279,1,0,1
5234,15591286,1,1,1
6837,15591344,2,1,1
2032,15591357,1,1,1
7279,15591360,2,0,1
1976,15591386,2,1,0
8438,15591428,2,0,0
3016,15591433,2,1,0
8000,15591489,1,0,0
382,15591509,2,1,0
6465,15591512,1,0,1
5321,15591550,1,1,0
7241,15591552,1,1,0
2668,15591577,1,1,1
130,15591607,1,1,0
9301,15591628,1,1,0
8344,15591698,1,1,0
887,15591711,1,1,0
9505,15591724,1,1,0
4735,15591740,2,1,1
4234,15591747,2,0,0
2457,15591766,1,0,1
6399,15591822,1,1,0
2940,15591915,1,0,1
1628,15591932,1,1,0
6642,15591942,2,1,1
819,15591969,1,1,1
9431,15591980,2,1,1
9751,15591985,1,1,1
476,15591986,1,0,0
499,15591995,2,1,1
4362,15592000,1,1,0
8317,15592025,2,1,1
5450,15592028,1,1,1
4255,15592078,2,1,0
1002,15592089,2,1,1
4020,15592091,2,1,1
9478,15592104,1,0,0
1722,15592116,2,1,0
8773,15592123,2,1,1
4318,15592194,2,1,0
6211,15592197,2,1,0
846,15592222,1,0,0
1111,15592229,1,1,1
5330,15592230,2,1,1
534,15592300,1,1,0
7417,15592326,2,0,1
4829,15592379,2,1,0
360,15592386,2,0,1
604,15592387,1,1,0
10,15592389,1,1,1
7689,15592412,1,1,0
8242,15592451,2,1,0
65,15592461,1,1,1
7,15592531,2,1,1
3290,15592570,2,1,0
5064,15592578,2,0,0
1118,15592583,3,0,0
2437,15592645,2,0,0
5406,15592707,2,1,1
9467,15592716,1,1,0
2576,15592736,1,1,0
7814,15592751,1,1,0
6487,15592761,2,0,0
2462,15592765,1,1,1
7534,15592773,3,0,0
2733,15592816,1,1,0
537,15592846,2,1,0
7949,15592854,1,0,1
2973,15592877,1,1,0
7206,15592914,2,1,1
8954,15592925,3,0,1
661,15592937,1,1,1
258,15592979,2,0,0
1811,15592994,2,1,1
