RowNumber,CustomerId,Tenure,CreditScore,Balance,EstimatedSalary
270,15799217,7,791,52436.2,161051.75
271,15787071,9,650,,191599.67
272,15619955,3,733,100337.96,48559.19
273,15796505,1,811,149297.19,186339.74
274,15725166,8,707,,33159.37
275,15800116,4,712,145605.44,93883.53
276,15758685,7,706,,110899.3
277,15694456,3,756,,11199.04
278,15767339,10,777,,189992.97
279,15683562,6,646,84026.86,164255.69
280,15782210,1,714,,152167.79
281,15668893,8,782,,33949.67
282,15669169,10,775,,68143.93
283,15643024,4,479,138718.92,47251.79
284,15699389,7,807,118274.71,25885.72
285,15708608,8,799,174185.98,192633.85
286,15626144,7,675,113208.86,34577.36
287,15573112,5,602,103907.28,161229.84
288,15790678,8,475,119023.28,100816.29
289,15727556,5,744,166297.89,181694.44
290,15697307,10,588,,79078.91
291,15652266,9,703,63227,137316.32
292,15607098,5,747,94521.17,194926.86
293,15655774,7,583,,51285.49
294,15590241,9,750,112822.26,150401.53
295,15785819,3,681,,112491.96
296,15723654,2,773,135903.33,73656.38
297,15774510,4,714,125169.26,106636.89
298,15684173,7,687,,155853.52
299,15650068,0,511,149117.31,162599.51
300,15811490,5,627,,103737.82
301,15803976,10,694,,160990.27
302,15682541,6,616,132311.71,15462.84
303,15695699,8,687,,10334.05
304,15624188,6,712,,190686.16
305,15812191,4,553,118082.89,94440.45
306,15636673,1,667,119266.69,28257.63
307,15594898,2,731,,170034.95
308,15660211,7,629,156847.29,31824.29
309,15773972,4,614,137104.47,127166.49
310,15746726,8,438,78398.69,44937.01
311,15712287,4,652,,188603.07
312,15702919,6,729,63669.42,145111.37
313,15674398,3,642,,171463.83
314,15797960,0,806,135296.33,182822.5
315,15631868,2,744,153804.44,87213.33
316,15581539,3,474,,57175.32
317,15662736,2,559,147069.78,120540.83
318,15666252,9,706,,28714.34
319,15677512,3,628,,85426.28
320,15626114,4,429,95741.75,46170.75
321,15810834,2,525,145965.33,64448.36
322,15678910,8,680,141441.75,16278.97
323,15694408,1,749,139290.41,182855.42
324,15585215,4,763,,50404.72
325,15682757,3,734,,107640.25
326,15736601,4,716,144428.87,134132.65
327,15601848,2,594,,103480.69
328,15736008,9,644,95441.27,108761.05
329,15669064,1,671,144848.74,179012.3
330,15624528,7,664,116244.14,95145.14
331,15598493,7,656,,72143.44
332,15601274,1,667,146502.07,19162.89
333,15702669,2,663,117028.6,144680.18
334,15728669,8,584,112013.81,177772.03
335,15742668,6,626,108269.37,5597.94
336,15697441,7,485,182123.79,116828.51
337,15740476,3,659,150923.74,174652.51
338,15648064,2,649,,2010.98
339,15636624,5,805,165272.13,14109.85
340,15807923,10,716,115301.31,43527.4
341,15745844,6,642,129502.49,86099.23
342,15786170,4,659,118342.26,161574.19
343,15681081,5,545,,38970.14
344,15684484,8,543,,127587.22
345,15785869,7,718,,30380.12
346,15763859,7,840,,90908.95
347,15658935,9,630,106937.05,138275.01
348,15747358,3,643,170331.37,32171.79
349,15735203,1,654,114510.85,126143.23
350,15576256,5,582,,129892.93
351,15659420,3,659,107594.11,102416.84
352,15593365,2,762,81273.13,18719.67
353,15777352,7,568,169399.6,61936.22
354,15812007,6,670,,78358.94
355,15625461,1,613,187841.99,147224.27
356,15739438,0,539,,160979.66
357,15611759,8,850,126776.3,132298.49
358,15661629,9,522,126436.29,174248.52
359,15633950,1,737,101960.74,123547.28
360,15592386,3,520,,32790.02
361,15803716,3,706,,181543.67
362,15696674,2,643,150842.93,2319.96
363,15706365,9,648,102535.57,189543.19
364,15745088,9,443,99027.61,10940.4
365,15676715,9,640,,199493.38
366,15613085,3,628,,188193.25
367,15633537,9,540,87271.41,172572.64
368,15594720,8,460,102742.91,189339.6
369,15684042,2,636,40105.51,53512.16
370,15583303,2,593,152265.43,34004.44
371,15611579,4,801,141947.67,10598.29
372,15774696,1,640,106307.91,113428.77
373,15694506,0,611,107884.81,183487.98
374,15688074,1,802,125013.72,187658.09
375,15759537,7,717,58469.37,172459.39
376,15758449,8,769,,21016
377,15583456,10,745,117231.63,122381.02
378,15667871,4,572,152390.26,128123.66
379,15677371,2,629,34013.63,19570.63
380,15629677,2,687,,188150.6
381,15713578,9,483,,111020.24
382,15591509,7,690,101583.11,123775.15
383,15568240,10,492,77168.87,146700.22
384,15622993,8,709,124695.72,145251.35
385,15689294,3,705,105934.96,82463.69
386,15720910,9,560,,15928.49
387,15721181,6,611,,45886.33
388,15776433,2,730,,186489.95
389,15748936,2,709,,162922.65
390,15717225,10,544,161525.96,9262.77
391,15685226,7,712,147199.07,84932.4
392,15785611,3,752,183102.29,71557.12
393,15573456,9,648,127209,77405.95
394,15684548,8,556,,417.41
395,15620505,0,594,97378.54,71405.17
396,15807432,2,645,136925.09,153400.24
397,15584766,3,557,54503.55,371.05
398,15612187,8,547,155726.85,67789.99
399,15762218,9,701,,145894.9
400,15646372,1,616,135842.41,183840.51
401,15690452,1,605,63349.75,108887.44
402,15747795,4,593,129499.42,154071.27
403,15781589,8,751,,179291.85
404,15732674,6,443,70438.01,56937.43
405,15642291,8,685,,112239.03
406,15692761,9,718,,45909.87
407,15578045,9,538,141434.04,173779.25
408,15745354,4,611,,125696.26
409,15701376,10,668,152958.29,159585.61
410,15691625,3,537,138306.34,106761.47
411,15566594,10,709,,129590.18
412,15760431,1,850,,80006.65
413,15686302,3,745,124328.84,140451.52
414,15801559,9,693,181461.48,187929.43
415,15810432,8,795,,167155.36
416,15809616,8,626,,191420.71
417,15720559,5,487,110368.03,11384.45
418,15695632,9,556,89588.35,94898.1
419,15659843,6,643,,106781.59
420,15615624,6,605,,159508.52
421,15810418,3,756,115924.89,93524.19
422,15716186,2,586,,87168.46
423,15674551,7,535,111756.5,8128.32
424,15622834,4,678,,125518.32
425,15566111,9,596,,48963.59
426,15784597,9,648,162923.85,98368.24
427,15652883,10,492,124576.65,148584.61
428,15806964,0,702,80793.58,27474.81
429,15576313,9,486,71340.09,76192.21
430,15806467,1,568,99282.63,134600.94
431,15597602,3,619,137946.39,72467.99
432,15743040,2,724,127892.57,199645.45
433,15705521,0,548,101084.36,42749.85
434,15595039,8,545,114754.08,136050.44
435,15799384,8,683,,73564.44
436,15581197,3,762,99286.98,85578.63
437,15693737,4,627,79871.02,129826.89
438,15624623,10,516,104088.59,119666
439,15783501,2,800,168190.33,68052.08
440,15690134,3,464,85679.25,164104.74
441,15782735,3,626,,80190.36
442,15611088,9,790,,84126.75
443,15672145,7,534,121551.58,70179
444,15732628,2,745,122220.19,118024.1
445,15787470,3,553,116528.15,145704.19
446,15803406,1,748,77780.29,183049.41
447,15730460,2,722,,120906.83
448,15644572,4,501,125832.2,100433.83
449,15694860,6,675,68065.8,138777
450,15658169,6,778,127299.34,124694.99
451,15794396,7,494,174937.64,40084.32
452,15785798,9,850,,119232.33
453,15710825,7,592,110071.1,43921.36
454,15668444,3,590,139432.37,62222.81
455,15726631,6,758,127357.76,56577
456,15733797,5,506,,164253.35
457,15747960,3,733,,7666.73
458,15634632,3,711,,68487.51
459,15707362,1,514,95556.31,199273.98
460,15662976,8,,,186062.36
461,15732778,1,468,111681.98,195711.16
462,15718443,3,539,,36692.17
463,15670039,3,509,108738.71,106920.57
464,15773792,4,662,133950.37,48725.68
465,15613786,4,818,,167036.94
466,15726032,9,608,89968.69,68777.26
467,15663252,9,850,,18924.92
468,15593782,5,816,130878.75,71905.77
469,15633283,8,536,,64833.28
470,15749167,3,753,,184843.77
471,15759298,10,631,134169.62,176730.02
472,15683625,1,703,149762.08,20629.4
473,15635367,2,774,93844.69,28415.36
474,15681705,8,785,,77231.27
475,15603156,1,571,,102750.7
476,15591986,6,621,141078.37,34580.8
477,15798888,1,605,117992.59,183598.77
478,15809722,8,611,100812.33,147358.27
479,15677538,7,569,,108469.2
480,15797736,4,658,80262.6,20612.82
481,15695585,6,788,156478.62,181196.76
482,15744398,5,525,,160249.1
483,15750658,8,798,,110783.28
484,15578186,9,486,115217.99,144995.33
485,15676519,9,615,,150227.85
486,15637954,0,730,155470.55,53718.28
487,15758639,7,641,,75248.3
488,15613772,3,542,135096.77,14353.43
489,15731744,2,692,,130486.57
490,15807709,9,714,180075.22,100127.71
491,15714689,1,591,97541.24,196356.17
492,15699005,2,710,156067.05,9983.88
493,15624170,4,639,81550.94,118974.77
494,15725679,6,531,,194998.34
495,15585865,2,673,170061.92,134901.34
496,15804256,8,765,92310.54,72924.56
497,15662403,6,622,169089.38,101057.95
498,15733616,5,,80613.93,142838.64
499,15591995,8,757,121581.56,127059.04
500,15677020,8,570,,116503.92
501,15727688,4,555,,54405.79
502,15715941,5,692,,88721.84
503,15714485,5,774,85891.55,74135.48
504,15730059,9,638,77637.35,111346.22
505,15715527,4,543,,194902.16
506,15576623,5,584,,31474.27
507,15805565,7,691,116927.89,21198.39
508,15677307,6,684,137326.65,186976.6
509,15773890,5,733,,117202.19
510,15598883,2,599,,143739.29
511,15568506,10,524,67238.98,161811.23
512,15761043,6,632,86569.76,98090.91
513,15782236,5,735,,71095.41
514,15593601,6,734,133598.4,13107.24
515,15682048,3,605,136188.78,67110.59
516,15746902,9,793,,88225.02
517,15752081,10,468,,62256.87
518,15781307,7,779,120092.52,135925.72
519,15775912,4,698,101238.24,177815.87
520,15745417,6,707,89685.92,126471.13
521,15671256,1,850,211774.31,188574.12
522,15653547,7,850,131317.48,119175.45
523,15595766,5,527,93722.73,139093.73
524,15742358,8,696,101160.99,115916.55
525,15763274,3,661,120320.54,96463.25
526,15786063,2,776,,112349.51
527,15600258,2,701,,165303.79
528,15573318,8,610,,166031.08
529,15653849,3,572,152827.99,38411.79
530,15694272,1,673,64097.75,77783.35
531,15736112,2,519,119035.35,29871.79
532,15749851,4,702,135219.57,59747.63
533,15663478,6,729,93694.42,79919.13
534,15592300,10,543,59408.63,76773.53
535,15567832,7,550,114354.95,54018.93
536,15776780,1,608,,70649.64
537,15592846,10,639,128173.9,59093.39
538,15739803,9,686,,127569.8
539,15794142,5,564,114931.35,18260.98
540,15762729,1,745,111071.36,73275.96
541,15667896,8,833,151226.18,136129.49
542,15626578,9,622,,153237.59
543,15776223,4,597,64740.12,106841.12
544,15705953,0,721,169312.13,109078.35
545,15802593,7,504,,87822.14
546,15615457,2,842,112652.08,126644.98
547,15708916,0,587,,47414.15
548,15720187,7,479,143964.36,41879.99
549,15595440,7,508,122451.46,75808.1
550,15600651,1,749,,47911.03
551,15750141,3,721,65253.07,28737.78
552,15657284,6,674,106901.94,2079.2
553,15763063,10,685,128509.63,121562.33
554,15709324,7,417,,55003.79
555,15711309,3,574,129834.67,193131.42
556,15775318,3,590,154962.99,191932.27
557,15705515,5,587,138241.9,159418.1
558,15634844,3,598,91536.93,191468.78
559,15717046,3,741,,38913.68
560,15571816,5,850,,705.18
561,15670080,7,584,105204.01,138490.03
562,15800440,1,650,152968.73,82970.69
563,15665678,8,607,158261.68,76744.72
564,15665956,1,509,,71244.59
565,15788126,6,689,121021.05,12182.15
566,15811773,4,543,,141210.5
567,15651674,2,438,,191763.07
568,15689614,1,687,137715.66,37938.74
569,15795564,5,737,121192.22,74890.58
570,15706647,7,761,,166698.18
571,15728505,1,601,100486.18,62678.53
572,15730076,1,651,,67740.08
573,15622003,9,745,92566.53,161519.77
574,15607312,10,648,,159835.78
575,15644753,3,848,110929.96,30876.84
576,15653620,8,546,,14858.1
577,15761986,3,439,138901.61,75685.97
578,15633922,4,755,123217.66,144183.1
579,15734674,6,593,,65170.66
580,15658032,2,701,,82526.92
581,15692671,8,701,,169161.46
582,15737741,2,607,108431.87,109291.39
583,15576352,3,586,,6057.81
584,15753719,9,547,72392.41,77077.14
585,15803689,1,647,119741.77,54954.51
586,15718057,2,760,100946.71,179614.8
587,15722010,9,621,170491.84,35588.07
588,15680998,5,725,,117356.14
589,15614782,1,526,,160696.72
590,15591047,6,519,157296.02,147278.43
591,15788291,7,713,144606.22,56594.36
592,15604044,8,700,134811.3,1299.75
593,15679587,9,666,115897.12,25095.03
594,15775153,4,630,82034,146326.45
595,15603925,4,779,174318.13,38296.21
596,15680970,2,611,114206.84,164061.6
597,15697183,9,685,,107811.28
598,15567446,9,646,111574.41,30838.51
599,15637476,5,683,162448.69,9221.78
600,15714939,4,484,148249.54,33738.27
601,15683503,8,601,,110916.15
602,15645569,7,762,123709.46,169654.57
603,15782569,9,687,,69829.4
604,15592387,5,566,,54926.51
605,15609286,10,702,150525.8,94728.49
606,15814035,9,601,,80393.27
607,15661249,4,699,,111307.98
608,15629117,10,584,,19834.32
609,15607170,5,699,,78397.24
610,15586585,2,698,111018.98,86410.28
611,15686611,10,495,129755.99,172749.65
612,15603203,6,650,,1002.39
613,15619857,2,605,129555.7,13601.79
614,15805062,1,667,87202.38,77866.91
615,15660271,8,688,146133.39,175296.76
616,15745295,0,727,,121751.04
617,15719352,6,754,170184.99,89593.26
618,15766575,8,612,140745.33,193437.89
619,15594594,7,546,139070.51,86945
620,15646161,8,673,,183318.79
621,15682585,9,593,114193.24,71154.1
622,15603134,10,656,167878.5,151887.16
623,15636444,5,535,141616.55,75888.65
624,15773456,3,678,145747.67,89566.74
625,15745307,2,477,129120.64,26475.79
626,15604119,7,,110349.82,126355.8
627,15626900,1,427,141325.56,93839.3
628,15605447,2,752,78653.84,7698.6
629,15589030,1,649,,145593.85
630,15692463,3,799,142253.65,45042.56
631,15712403,1,589,,61108.56
632,15811762,6,583,115988.86,57553.98
633,15718673,10,839,75592.43,62674.42
634,15724282,3,540,164113.04,12120.79
635,15738181,6,850,67996.23,50129.87
636,15633648,5,696,,55022.43
637,15603323,1,660,,117834.91
638,15583725,1,682,138778.15,168840.23
639,15588350,10,744,147832.15,24234.11
640,15798398,4,785,135438.4,190627.01
641,15784844,5,752,116060.08,156618.38
642,15580684,5,706,112564.62,42334.38
643,15809663,1,583,125406.58,110784.42
644,15640078,5,660,135134.99,173683
645,15698786,9,819,133102.92,27046.46
646,15569807,8,673,42157.08,20598.59
647,15730830,3,752,,104991.28
648,15805112,7,578,82259.29,8996.97
649,15633064,4,438,,64420.5
650,15703119,6,652,,145700.22
651,15730447,4,629,,196335.48
652,15813850,7,720,,14781.12
653,15711889,3,668,150461.07,108139.23
654,15664610,4,459,133994.52,19287.06
655,15751710,8,729,164870.81,9567.39
656,15692926,8,498,121702.73,132210.49
657,15813741,6,549,193858.2,21600.11
658,15698474,1,601,131039.97,199661.5
659,15568595,9,544,113829.45,124341.49
660,15603065,6,751,,15766.1
661,15592937,3,632,81877.38,33642.21
662,15699637,8,694,116326.07,117704.65
663,15667215,2,678,,58803.28
664,15788659,4,695,,137537.22
665,15763218,1,661,,131300.68
666,15645772,9,661,,84174.81
667,15725511,3,559,127070.73,160941.78
668,15575024,3,503,,143954.99
669,15640825,3,695,122549.64,56297.85
670,15662397,5,640,176099.13,8404.73
671,15576368,3,624,122388.38,30020.09
672,15674991,9,667,,58137.42
673,15721024,0,642,,47472.68
674,15745621,6,640,118879.35,19131.71
675,15642394,5,529,,187288.5
676,15754605,5,563,,17603.81
677,15607040,4,593,88736.44,67020.03
678,15715142,7,739,102703.62,147802.94
679,15810978,1,788,,41610.62
680,15668886,3,684,,44255.65
681,15780804,5,482,97318.25,78416.14
682,15613880,5,591,128468.69,137254.55
683,15775238,4,651,133432.59,151303.48
684,15786905,8,749,141782.57,86333.63
685,15747867,9,583,135125.28,89801.9
686,15600337,2,661,178820.91,29358.57
687,15801277,2,715,112212.14,181600.72
688,15579334,5,769,126674.81,124118.71
689,15802741,7,625,136294.97,38867.46
690,15720649,5,641,66392.64,31106.67
691,15589493,1,716,122552.34,67611.36
692,15688251,1,767,76408.85,77837.63
693,15665238,8,745,145071.24,6078.46
694,15740900,6,589,,177896.92
695,15681068,2,796,109730.22,123882.73
696,15748625,6,664,,15304.08
697,15727299,1,445,64119.38,76569.64
698,15620204,1,543,106138.33,120657.32
699,15669516,2,746,,16436.56
700,15736534,0,742,181656.51,107667.91
701,15803457,5,750,,95611.47
702,15659098,7,669,95128.86,19799.26
703,15603436,2,594,126615.94,123214.74
704,15566292,1,574,,71709.12
705,15808621,2,659,76190.48,149066.14
706,15580148,5,750,168286.81,20451.99
707,15776231,4,626,88109.81,32825.5
708,15773809,4,620,,6232.31
709,15649423,8,580,,10357.03
710,15734886,3,686,123971.51,147794.63
711,15722548,0,540,148116.48,116973.48
712,15650288,6,634,116269.01,129964.94
713,15629448,1,632,120599.21,92816.86
714,15716164,3,501,144260.5,172114.67
715,15807609,3,650,86605.5,16649.31
716,15578977,9,786,,144517.19
717,15677369,4,554,58629.97,182038.6
718,15804072,5,701,,24210.56
719,15696859,10,474,,172175.9
720,15653780,5,621,,47578.45
721,15721658,2,672,209767.31,150694.42
722,15578761,6,459,129634.25,177683.02
723,15736879,1,669,,66088.83
724,15571973,2,776,169824.46,169291.7
725,15626742,3,694,97530.25,117140.41
726,15672692,10,787,145988.65,79510.37
727,15673570,9,580,,77108.66
728,15767432,7,711,,9679.28
729,15654238,5,673,137494.28,81753.92
730,15612525,1,499,,131372.38
731,15812750,6,591,147360,25310.82
732,15790757,10,769,,187925.75
733,15723873,3,657,125167.02,98820.39
734,15744607,9,738,121152.05,64166.7
735,15612966,7,545,128981.07,176924.21
736,15784209,6,497,,90055.08
737,15794278,6,816,151858.98,72814.31
738,15766741,2,525,114628.4,168290.06
739,15661036,6,725,,161767.38
740,15705639,8,692,95059.02,44420.18
741,15637414,7,618,128736.39,37147.61
742,15716835,8,546,156325.38,125381.02
743,15696231,7,635,105405.97,149853.89
744,15641675,2,611,88915.37,161435.02
745,15670755,8,650,,102925.76
746,15640059,5,606,,70899.27
747,15787619,2,844,160980.03,145936.28
748,15587535,5,450,177619.71,54227.06
749,15813034,2,727,62276.99,59280.79
750,15698839,4,460,127559.97,126952.5
751,15790314,0,649,,130567.02
752,15634245,9,758,95523.16,73294.48
753,15677305,7,490,107749.03,3937.37
